2020-08-01
Cloudflare,Inc., 97532, 29.53%
Unknown, 72146, 21.85%
Google LLC, 46171, 13.98%
Shopify,Inc., 12376, 3.75%
Automattic,Inc, 8378, 2.54%
Squarespace,Inc., 7933, 2.4%
Unified Layer, 6767, 2.05%
WEBSITEWELCOME.COM, 6736, 2.04%
RIPE Network Coordination Centre, 5325, 1.61%
Digital Ocean, 4501, 1.36%
Sucuri, 4236, 1.28%
Incapsula Inc, 3731, 1.13%
Liquid Web, 3662, 1.11%
Amazon Technologies Inc., 3261, 0.99%
New Dream Network,LLC, 2600, 0.79%
Akamai Technologies,Inc., 2445, 0.74%
GoDaddy.com,LLC, 1776, 0.54%
Namecheap,Inc., 1711, 0.52%
InMotion Hosting,Inc., 1675, 0.51%
Team Internet AG, 1509, 0.46%
XSERVER Inc., 1456, 0.44%
Amazon Data Services NoVa, 1313, 0.4%
A2 Hosting,Inc., 1260, 0.38%
Linode, 1216, 0.37%
Amazon.com,Inc., 902, 0.27%
SingleHop LLC, 859, 0.26%
NEXT DIMENSION INC, 854, 0.26%
OVH, 826, 0.25%
Asia Pacific Network Information Centre, 787, 0.24%
Hawk Host Inc., 708, 0.21%
Amazon Data Services Ireland Limited, 650, 0.2%
Microsoft Corporation, 643, 0.19%
Vultr Holdings,LLC, 628, 0.19%
PDR, 597, 0.18%
Transferred to the RIPE region on 2018-08-27T14, 565, 0.17%
Rackspace, 553, 0.17%
StackPath,LLC., 499, 0.15%
PrivateSystems Networks GA, 495, 0.15%
HostDime.com,Inc., 451, 0.14%
SYNERGY WHOLESALE PTY LTD, 380, 0.12%
A100 ROW GmbH, 357, 0.11%
P.D.R Solutions FZC, 338, 0.1%
Web Hosting, 325, 0.1%
NOC4Hosts Inc., 289, 0.09%
InMotion Hosting, 270, 0.08%
HostPapa, 251, 0.08%
Fastly, 241, 0.07%
MCI Communications Services,Inc. d/b/a Verizon Business, 235, 0.07%
SoftLayer Technologies Inc., 228, 0.07%
Early registration addresses, 222, 0.07%
Steadfast, 221, 0.07%
ANS Communications,Inc, 205, 0.06%
Pressable, 203, 0.06%
Vodien Internet Solutions Pte Ltd, 203, 0.06%
GMO Internet,Inc., 200, 0.06%
The Endurance International Group,Inc., 199, 0.06%
Master Internet, 191, 0.06%
PrivateSystems Networks WA, 171, 0.05%
Aptum Technologies, 170, 0.05%
iWeb Technologies Inc., 165, 0.05%
Amazon Data Services India, 164, 0.05%
Alibaba.com LLC, 158, 0.05%
Vercel,Inc, 155, 0.05%
Media Temple,Inc., 154, 0.05%
AS38719 Routing Object, 152, 0.05%
PSINet,Inc., 150, 0.05%
Hostopia Australia Web Pty Ltd, 148, 0.04%
DigiRock,Inc., 140, 0.04%
Psychz Networks, 140, 0.04%
PEG TECH INC, 138, 0.04%
SECURED SERVERS LLC, 137, 0.04%
Hostgator.com LLC, 135, 0.04%
NETWORK TRANSIT HOLDINGS LLC, 134, 0.04%
pair Networks, 132, 0.04%
Amazon Data Services UK, 130, 0.04%
Hosting Services,Inc., 127, 0.04%
African Network Information Center, 123, 0.04%
Interserver,Inc, 122, 0.04%
Alibaba (US) Technology Co.,Ltd., 115, 0.03%
Amazon Corporate Services Pty Ltd, 113, 0.03%
Hostgator India Route, 111, 0.03%
DIGITAL PACIFIC PTY LTD, 111, 0.03%
Leaseweb USA,Inc., 110, 0.03%
QuadraNet Enterprises LLC, 97, 0.03%
Afrihost, 94, 0.03%
Latin American and Caribbean IP address Regional Registry, 93, 0.03%
Performive LLC, 92, 0.03%
Transferred to the RIPE region on 2018-06-27T02, 90, 0.03%
CrocWeb, 88, 0.03%
NEUBOX,LLC, 83, 0.03%
Hostopia Australia Pty Ltd, 81, 0.02%
Corporate Colocation Inc., 81, 0.02%
Web Hosting Hub,Inc, 81, 0.02%
