Date, Total, TLSv1.3, TLSv1.3 (draft 23), TLSv1.2, TLSv1.1, TLSv1.0, Error, Others, Connection Failed
2018-09-17, 830848, 97850, 17, 662441, 207, 21992, 48324, 17, 169152
2018-09-18, 829654, 99931, 17, 659338, 205, 21928, 48219, 16, 170346
2018-09-19, 829578, 99889, 17, 659306, 205, 21914, 48230, 17, 170422
2018-09-20, 828290, 99816, 16, 658440, 205, 21801, 47995, 17, 171710
2018-09-21, 812364, 97657, 16, 643679, 199, 21105, 49692, 16, 187636
2018-09-22, 834878, 101233, 17, 663229, 208, 21998, 48177, 16, 165122
2018-09-23, 836191, 101381, 16, 664502, 208, 21995, 48073, 16, 163809
2018-09-24, 833570, 101533, 15, 661780, 226, 21892, 48108, 16, 166430
2018-09-25, 834055, 101958, 15, 661856, 205, 21832, 48172, 17, 165945
2018-09-26, 832503, 101830, 11, 660644, 205, 21772, 48025, 16, 167497
2018-09-27, 835840, 102522, 10, 662995, 208, 21838, 48251, 16, 164160
2018-09-28, 836899, 102599, 10, 664114, 204, 21869, 48087, 16, 163101
2018-09-29, 835447, 102518, 9, 663157, 205, 21762, 47781, 15, 164553
2018-09-30, 838973, 102862, 10, 666067, 203, 21845, 47970, 16, 161027
2018-10-01, 834691, 102670, 10, 662536, 203, 21682, 47575, 15, 165309
2018-10-02, 832200, 102934, 10, 659832, 203, 21689, 47516, 16, 167800
2018-10-03, 835342, 105026, 10, 660758, 205, 21647, 47680, 16, 164658
2018-10-04, 832366, 105747, 10, 656897, 204, 21452, 48041, 15, 167634
2018-10-05, 840790, 107081, 10, 662723, 202, 21588, 49170, 16, 159210
2018-10-06, 835179, 106522, 10, 659413, 202, 21565, 47452, 15, 164821
2018-10-07, 836870, 106923, 10, 660770, 205, 21514, 47433, 15, 163130
2018-10-08, 836246, 107566, 10, 659551, 203, 21508, 47392, 16, 163754
2018-10-09, 832917, 107880, 10, 656193, 199, 21379, 47241, 15, 167083
2018-10-10, 831380, 108322, 10, 654479, 201, 21352, 47001, 15, 168620
2018-10-11, 834895, 109091, 8, 657149, 202, 21432, 46998, 15, 165105
2018-10-12, 835605, 109369, 9, 657458, 203, 21367, 47185, 14, 164395
2018-10-13, 829239, 108547, 9, 652468, 201, 21139, 46862, 13, 170761
2018-10-14, 838839, 109771, 9, 660276, 195, 21339, 47235, 14, 161161
2018-10-15, 834900, 109486, 9, 656835, 200, 21310, 47048, 12, 165100
2018-10-16, 835381, 109759, 10, 657050, 199, 21318, 47033, 12, 164619
2018-10-17, 828049, 108597, 7, 651037, 198, 20983, 47219, 8, 171951
2018-10-18, 515380, 68021, 2, 404505, 127, 12768, 29953, 4, 484620
2018-10-19, 828001, 108459, 4, 651399, 188, 20970, 46976, 5, 171999
2018-10-20, 840126, 110622, 4, 660605, 197, 21316, 47377, 5, 159874
2018-10-21, 840344, 110328, 3, 661363, 201, 21337, 47108, 4, 159656
2018-10-22, 834893, 109928, 2, 656763, 196, 21134, 46866, 4, 165107
2018-10-23, 839779, 110975, 3, 660356, 197, 21266, 46979, 3, 160221
2018-10-24, 836550, 110782, 2, 657727, 193, 21156, 46687, 3, 163450
2018-10-25, 836690, 111169, 2, 657596, 195, 21079, 46647, 2, 163310
2018-10-26, 838707, 112119, 2, 658657, 191, 21052, 46684, 2, 161293
2018-10-27, 835791, 112204, 2, 655965, 196, 20969, 46454, 1, 164209
2018-10-28, 839355, 112694, 2, 658750, 197, 21068, 46643, 1, 160645
2018-10-29, 838030, 112863, 2, 657316, 197, 20988, 46663, 1, 161970
2018-10-30, 825030, 110953, 2, 645737, 188, 20504, 47646, 0, 174970
2018-10-31, 835113, 112927, 2, 654599, 205, 20850, 46530, 0, 164887
2018-11-01, 836138, 113172, 2, 655422, 200, 20803, 46539, 0, 163862
2018-11-02, 834478, 113177, 1, 653706, 198, 20681, 46715, 0, 165522
2018-11-03, 836144, 113654, 1, 654888, 204, 20705, 46692, 0, 163856
2018-11-04, 836756, 113786, 1, 655583, 204, 20713, 46469, 0, 163244
2018-11-05, 836581, 114300, 1, 654819, 202, 20691, 46568, 0, 163419
2018-11-06, 833546, 114060, 1, 652364, 202, 20606, 46313, 0, 166454
2018-11-07, 834992, 114539, 1, 653270, 201, 20612, 46369, 0, 165008
2018-11-08, 826540, 113977, 1, 647572, 197, 20387, 44406, 0, 173460
2018-11-09, 825490, 114064, 1, 646677, 200, 20330, 44218, 0, 174510
2018-11-10, 831066, 115125, 1, 650686, 196, 20510, 44548, 0, 168934
2018-11-11, 829153, 114731, 1, 645673, 199, 20243, 48306, 0, 170847
2018-11-12, 591179, 80374, 1, 464116, 139, 14353, 32196, 0, 408821
2018-11-14, 836401, 118595, 1, 652289, 204, 20530, 44782, 0, 163599
2018-11-15, 838282, 123755, 1, 648838, 205, 20543, 44940, 0, 161718
2018-11-16, 838101, 126877, 1, 645713, 205, 20509, 44796, 0, 161899
2018-11-17, 839911, 127229, 1, 647049, 200, 20520, 44912, 0, 160089
2018-11-18, 839656, 127071, 1, 646606, 202, 20449, 45327, 0, 160344
2018-11-19, 841441, 127055, 1, 645901, 204, 20461, 47819, 0, 158559
2018-11-20, 842108, 131331, 1, 642108, 206, 20458, 48004, 0, 157892
2018-11-21, 830472, 129790, 1, 633206, 201, 20054, 47220, 0, 169528
2018-11-22, 842687, 131867, 1, 641877, 202, 20288, 48452, 0, 157313
2018-11-23, 842156, 132073, 1, 641681, 203, 20294, 47904, 0, 157844
2018-11-24, 840442, 131712, 1, 640494, 205, 20197, 47833, 0, 159558
2018-11-25, 841776, 131966, 1, 641336, 201, 20243, 48029, 0, 158224
2018-11-26, 839120, 131688, 1, 639167, 200, 20165, 47899, 0, 160880
2018-11-27, 842089, 132301, 1, 641406, 198, 20213, 47970, 0, 157911
2018-11-28, 840958, 132516, 1, 642421, 194, 20162, 45664, 0, 159042
2018-11-29, 841137, 132458, 0, 642809, 192, 20133, 45545, 0, 158863
2018-11-30, 841721, 132894, 0, 642884, 196, 20119, 45628, 0, 158279
2018-12-01, 839227, 132507, 0, 641051, 196, 20039, 45434, 0, 160773
2018-12-02, 831412, 131112, 0, 634178, 198, 19755, 46169, 0, 168588
2018-12-03, 832093, 131277, 0, 635065, 190, 19743, 45818, 0, 167907
2018-12-04, 840449, 132815, 0, 641819, 190, 19974, 45651, 0, 159551
2018-12-05, 837043, 133161, 0, 638596, 192, 19885, 45209, 0, 162957
2018-12-06, 840243, 134088, 0, 640720, 193, 19907, 45335, 0, 159757
